"","Method","Model","Intercept","Slope","J0","JA","N","Correlation","Power","FWERS","CorMat_Error","No_simulations"
"188","mmm","glm",0.1,0.2,"2","8",100,0.5,0.9495,0.0027,4e-04,10000
"189","mmm","glm",0.1,0.2,"2","8",100,0.9,0.846,0.0056,0,10000
"190","mmm","glm",0.1,0.001,"8","2",100,0,0.002,0.008,0.0018,10000
"191","mmm","glm",0.1,0.001,"8","2",100,0.5,0.0034,0.0112,0.0018,10000
"192","mmm","glm",0.1,0.001,"8","2",100,0.9,0.008,0.0112,9e-04,10000
"193","mmm","glm",0.1,0.025,"8","2",100,0,0.0055,0.0076,0.0016,10000
"194","mmm","glm",0.1,0.025,"8","2",100,0.5,0.0066,0.0089,0.0018,10000
"195","mmm","glm",0.1,0.025,"8","2",100,0.9,0.0159,0.0109,9e-04,10000
"196","mmm","glm",0.1,0.05,"8","2",100,0,0.0164,0.0083,0.0018,10000
"197","mmm","glm",0.1,0.05,"8","2",100,0.5,0.0227,0.0095,0.001,10000
"198","mmm","glm",0.1,0.05,"8","2",100,0.9,0.0352,0.0128,7e-04,10000
"199","mmm","glm",0.1,0.075,"8","2",100,0,0.0454,0.0087,0.0015,10000
"200","mmm","glm",0.1,0.075,"8","2",100,0.5,0.0542,0.0094,8e-04,10000
"201","mmm","glm",0.1,0.075,"8","2",100,0.9,0.0739,0.0131,7e-04,10000
"202","mmm","glm",0.1,0.1,"8","2",100,0,0.1156,0.0077,0.0013,10000
"203","mmm","glm",0.1,0.1,"8","2",100,0.5,0.1176,0.0076,5e-04,10000
"204","mmm","glm",0.1,0.1,"8","2",100,0.9,0.1525,0.0129,4e-04,10000
"205","mmm","glm",0.1,0.125,"8","2",100,0,0.2276,0.0078,8e-04,10000
"206","mmm","glm",0.1,0.125,"8","2",100,0.5,0.2419,0.0097,0.001,10000
"207","mmm","glm",0.1,0.125,"8","2",100,0.9,0.2663,0.012,4e-04,10000
"208","mmm","glm",0.1,0.15,"8","2",100,0,0.4225,0.0071,9e-04,10000
"209","mmm","glm",0.1,0.15,"8","2",100,0.5,0.4199,0.0085,4e-04,10000
"210","mmm","glm",0.1,0.15,"8","2",100,0.9,0.4361,0.012,9e-04,10000
"211","mmm","glm",0.1,0.175,"8","2",100,0,0.6302,0.0078,0.0011,10000
"212","mmm","glm",0.1,0.175,"8","2",100,0.5,0.6264,0.0094,0.0016,10000
"213","mmm","glm",0.1,0.175,"8","2",100,0.9,0.6112,0.0103,0.0012,10000
"214","mmm","glm",0.1,0.2,"8","2",100,0,0.8316,0.0068,0.0013,10000
"215","mmm","glm",0.1,0.2,"8","2",100,0.5,0.7887,0.0088,8e-04,10000
"216","mmm","glm",0.1,0.2,"8","2",100,0.9,0.7706,0.0104,7e-04,10000
"217","mmm","glm",0.1,0.001,"2","8",200,0,0.0187,0.0074,0,10000
"218","mmm","glm",0.1,0.001,"2","8",200,0.5,0.0218,0.0067,0,10000
"219","mmm","glm",0.1,0.001,"2","8",200,0.9,0.023,0.0116,0,10000
"220","mmm","glm",0.1,0.025,"2","8",200,0,0.0612,0.007,0,10000
"221","mmm","glm",0.1,0.025,"2","8",200,0.5,0.0525,0.0064,0,10000
"222","mmm","glm",0.1,0.025,"2","8",200,0.9,0.0435,0.0114,0,10000
"223","mmm","glm",0.1,0.05,"2","8",200,0,0.1884,0.0057,0,10000
"224","mmm","glm",0.1,0.05,"2","8",200,0.5,0.1373,0.0067,0,10000
"225","mmm","glm",0.1,0.05,"2","8",200,0.9,0.108,0.0126,0,10000
"226","mmm","glm",0.1,0.075,"2","8",200,0,0.4582,0.0054,0,10000
"227","mmm","glm",0.1,0.075,"2","8",200,0.5,0.304,0.0062,0,10000
"228","mmm","glm",0.1,0.075,"2","8",200,0.9,0.2335,0.0104,0,10000
"229","mmm","glm",0.1,0.1,"2","8",200,0,0.7994,0.0058,0,10000
"230","mmm","glm",0.1,0.1,"2","8",200,0.5,0.5695,0.0058,0,10000
"231","mmm","glm",0.1,0.1,"2","8",200,0.9,0.4409,0.012,0,10000
"232","mmm","glm",0.1,0.125,"2","8",200,0,0.9743,0.0044,0,10000
"233","mmm","glm",0.1,0.125,"2","8",200,0.5,0.8048,0.0073,0,10000
"234","mmm","glm",0.1,0.125,"2","8",200,0.9,0.6617,0.011,0,10000
"235","mmm","glm",0.1,0.15,"2","8",200,0,0.9996,0.0053,0,10000
"236","mmm","glm",0.1,0.15,"2","8",200,0.5,0.9509,0.0076,0,10000
"237","mmm","glm",0.1,0.15,"2","8",200,0.9,0.8551,0.0115,0,10000
"238","mmm","glm",0.1,0.175,"2","8",200,0,1,0.0052,0,10000
"239","mmm","glm",0.1,0.175,"2","8",200,0.5,0.9919,0.008,0,10000
"240","mmm","glm",0.1,0.175,"2","8",200,0.9,0.9577,0.0132,0,10000
"241","mmm","glm",0.1,0.2,"2","8",200,0,1,0.0048,0,10000
"242","mmm","glm",0.1,0.2,"2","8",200,0.5,0.9998,0.0058,0,10000
"243","mmm","glm",0.1,0.2,"2","8",200,0.9,0.9917,0.0116,0,10000
"244","mmm","glm",0.1,0.001,"8","2",200,0,0.0058,0.0203,0,10000
"245","mmm","glm",0.1,0.001,"8","2",200,0.5,0.0069,0.0221,0,10000
"246","mmm","glm",0.1,0.001,"8","2",200,0.9,0.0134,0.0241,0,10000
"247","mmm","glm",0.1,0.025,"8","2",200,0,0.0139,0.0212,0,10000
"248","mmm","glm",0.1,0.025,"8","2",200,0.5,0.0159,0.0231,0,10000
"249","mmm","glm",0.1,0.025,"8","2",200,0.9,0.0243,0.0221,0,10000
"250","mmm","glm",0.1,0.05,"8","2",200,0,0.0493,0.0222,0,10000
"251","mmm","glm",0.1,0.05,"8","2",200,0.5,0.0556,0.0222,0,10000
"252","mmm","glm",0.1,0.05,"8","2",200,0.9,0.0647,0.0238,0,10000
"253","mmm","glm",0.1,0.075,"8","2",200,0,0.1479,0.0196,0,10000
"254","mmm","glm",0.1,0.075,"8","2",200,0.5,0.1385,0.0226,0,10000
"255","mmm","glm",0.1,0.075,"8","2",200,0.9,0.1625,0.0238,0,10000
"256","mmm","glm",0.1,0.1,"8","2",200,0,0.3309,0.0195,0,10000
"257","mmm","glm",0.1,0.1,"8","2",200,0.5,0.3104,0.0222,0,10000
"258","mmm","glm",0.1,0.1,"8","2",200,0.9,0.3433,0.0228,0,10000
"259","mmm","glm",0.1,0.125,"8","2",200,0,0.6122,0.0202,0,10000
"260","mmm","glm",0.1,0.125,"8","2",200,0.5,0.5532,0.0243,0,10000
"261","mmm","glm",0.1,0.125,"8","2",200,0.9,0.5618,0.0222,0,10000
"262","mmm","glm",0.1,0.15,"8","2",200,0,0.85,0.0219,0,10000
"263","mmm","glm",0.1,0.15,"8","2",200,0.5,0.7814,0.0236,0,10000
"264","mmm","glm",0.1,0.15,"8","2",200,0.9,0.7939,0.024,0,10000
"265","mmm","glm",0.1,0.175,"8","2",200,0,0.9711,0.0225,0,10000
"266","mmm","glm",0.1,0.175,"8","2",200,0.5,0.9334,0.0219,0,10000
"267","mmm","glm",0.1,0.175,"8","2",200,0.9,0.9265,0.0217,0,10000
"268","mmm","glm",0.1,0.2,"8","2",200,0,0.9968,0.0224,0,10000
"269","mmm","glm",0.1,0.2,"8","2",200,0.5,0.9894,0.0225,0,10000
"270","mmm","glm",0.1,0.2,"8","2",200,0.9,0.9812,0.0221,0,10000
"271","mmm","glm",0.1,0.001,"2","8",400,0,0.0291,0.0076,0,10000
"272","mmm","glm",0.1,0.001,"2","8",400,0.5,0.0363,0.0101,0,10000
"273","mmm","glm",0.1,0.001,"2","8",400,0.9,0.0299,0.0143,0,10000
"274","mmm","glm",0.1,0.025,"2","8",400,0,0.1024,0.0063,0,10000
"275","mmm","glm",0.1,0.025,"2","8",400,0.5,0.0915,0.0104,0,10000
"276","mmm","glm",0.1,0.025,"2","8",400,0.9,0.0672,0.0152,0,10000
"277","mmm","glm",0.1,0.05,"2","8",400,0,0.3785,0.0079,0,10000
"278","mmm","glm",0.1,0.05,"2","8",400,0.5,0.2715,0.009,0,10000
"279","mmm","glm",0.1,0.05,"2","8",400,0.9,0.1969,0.0155,0,10000
"280","mmm","glm",0.1,0.075,"2","8",400,0,0.831,0.0076,0,10000
"281","mmm","glm",0.1,0.075,"2","8",400,0.5,0.6009,0.0085,0,10000
"282","mmm","glm",0.1,0.075,"2","8",400,0.9,0.4468,0.015,0,10000
"283","mmm","glm",0.1,0.1,"2","8",400,0,0.9936,0.007,0,10000
"284","mmm","glm",0.1,0.1,"2","8",400,0.5,0.8736,0.0075,0,10000
"285","mmm","glm",0.1,0.1,"2","8",400,0.9,0.7486,0.0143,0,10000
"286","mmm","glm",0.1,0.125,"2","8",400,0,1,0.0079,0,10000
