"","Method","Model","Intercept","J","N","Correlation","FWERW","CorMat_Error","No_simulations"
"309","mmm","glm",0.5,5,100,0.9,0.0479,0,10000
"310","mmm","glm",0.5,5,200,0,0.0444,0,10000
"311","mmm","glm",0.5,5,200,0.5,0.0483,0,10000
"312","mmm","glm",0.5,5,200,0.9,0.0479,0,10000
"313","mmm","glm",0.5,5,400,0,0.0486,0,10000
"314","mmm","glm",0.5,5,400,0.5,0.0476,0,10000
"315","mmm","glm",0.5,5,400,0.9,0.051,0,10000
"316","mmm","glm",0.5,10,100,0,0.0384,0,10000
"317","mmm","glm",0.5,10,100,0.5,0.0419,0,10000
"318","mmm","glm",0.5,10,100,0.9,0.0465,0,10000
"319","mmm","glm",0.5,10,200,0,0.0409,0,10000
"320","mmm","glm",0.5,10,200,0.5,0.0423,0,10000
"321","mmm","glm",0.5,10,200,0.9,0.0492,0,10000
"322","mmm","glm",0.5,10,400,0,0.0459,0,10000
"323","mmm","glm",0.5,10,400,0.5,0.0505,0,10000
"324","mmm","glm",0.5,10,400,0.9,0.048,0,10000
"325","bt","glm",0.01,3,100,0,0.00853862008047895,0,10189
"326","bt","glm",0.01,3,100,0.5,0.00912749043085681,0,10189
"327","bt","glm",0.01,3,100,0.9,0.00382765727745608,0,10189
"328","bt","glm",0.01,3,200,0,0.0257140052998332,0,10189
"329","bt","glm",0.01,3,200,0.5,0.0218863480223771,0,10189
"330","bt","glm",0.01,3,200,0.9,0.019334576504073,0,10189
"331","bt","glm",0.01,3,400,0,0.0451467268623025,0,10189
"332","bt","glm",0.01,3,400,0.5,0.0469133379134361,0,10189
"333","bt","glm",0.01,3,400,0.9,0.0460300323878693,0,10189
"334","bt","glm",0.01,5,100,0,0.011090391598783,0,10189
"335","bt","glm",0.01,5,100,0.5,0.00942192560604574,0,10189
"336","bt","glm",0.01,5,100,0.9,0.00441652762783394,0,10189
"337","bt","glm",0.01,5,200,0,0.0247325547158701,0,10189
"338","bt","glm",0.01,5,200,0.5,0.0236529590735107,0,10189
"339","bt","glm",0.01,5,200,0.9,0.0194327215624693,0,10189
"340","bt","glm",0.01,5,400,0,0.0428893905191874,0,10189
"341","bt","glm",0.01,5,400,0.5,0.0448522916871136,0,10189
"342","bt","glm",0.01,5,400,0.9,0.0473059181470213,0,10189
"343","bt","glm",0.01,10,100,0,0.0105015212484051,0,10189
"344","bt","glm",0.01,10,100,0.5,0.0104033761900088,0,10189
"345","bt","glm",0.01,10,100,0.9,0.00461281774462656,0,10189
"346","bt","glm",0.01,10,200,0,0.023456668956718,0,10189
"347","bt","glm",0.01,10,200,0.5,0.0260084404750221,0,10189
"348","bt","glm",0.01,10,200,0.9,0.0181568358033173,0,10189
"349","bt","glm",0.01,10,400,0,0.0393561684169202,0,10189
"350","bt","glm",0.01,10,400,0.5,0.0465207576798508,0,10189
"351","bt","glm",0.01,10,400,0.9,0.0447541466287172,0,10189
"352","bt","glm",0.0625,3,100,0,0.052900186475611,0,10189
"353","bt","glm",0.0625,3,100,0.5,0.0602610658553342,0,10189
"354","bt","glm",0.0625,3,100,0.9,0.0602610658553342,0,10189
"355","bt","glm",0.0625,3,200,0,0.05132986554127,0,10189
"356","bt","glm",0.0625,3,200,0.5,0.0522131710668368,0,10189
"357","bt","glm",0.0625,3,200,0.9,0.0575130042202375,0,10189
"358","bt","glm",0.0625,3,400,0,0.0525076062420257,0,10189
"359","bt","glm",0.0625,3,400,0.5,0.0470114829718324,0,10189
"360","bt","glm",0.0625,3,400,0.9,0.0493669643733438,0,10189
"361","bt","glm",0.0625,5,100,0,0.0517224457748552,0,10189
"362","bt","glm",0.0625,5,100,0.5,0.0501521248405143,0,10189
"363","bt","glm",0.0625,5,100,0.9,0.0604573559721268,0,10189
"364","bt","glm",0.0625,5,200,0,0.052900186475611,0,10189
"365","bt","glm",0.0625,5,200,0.5,0.0537834920011777,0,10189
"366","bt","glm",0.0625,5,200,0.9,0.0620276769064678,0,10189
"367","bt","glm",0.0625,5,400,0,0.0480910786141918,0,10189
"368","bt","glm",0.0625,5,400,0.5,0.0527038963588183,0,10189
"369","bt","glm",0.0625,5,400,0.9,0.0510354303660811,0,10189
"370","bt","glm",0.0625,10,100,0,0.0501521248405143,0,10189
"371","bt","glm",0.0625,10,100,0.5,0.0527038963588183,0,10189
"372","bt","glm",0.0625,10,100,0.9,0.0590833251545785,0,10189
"373","bt","glm",0.0625,10,200,0,0.0504465600157032,0,10189
"374","bt","glm",0.0625,10,200,0.5,0.0547649425851408,0,10189
"375","bt","glm",0.0625,10,200,0.9,0.0612425164392973,0,10189
"376","bt","glm",0.0625,10,400,0,0.0507409951908921,0,10189
"377","bt","glm",0.0625,10,400,0.5,0.0546667975267445,0,10189
"378","bt","glm",0.0625,10,400,0.9,0.0529983315340073,0,10189
"379","bt","glm",0.125,3,100,0,0.0533909117675925,0,10189
"380","bt","glm",0.125,3,100,0.5,0.0511335754244774,0,10189
"381","bt","glm",0.125,3,100,0.9,0.0544705074099519,0,10189
"382","bt","glm",0.125,3,200,0,0.0494651094317401,0,10189
"383","bt","glm",0.125,3,200,0.5,0.047207773088625,0,10189
"384","bt","glm",0.125,3,200,0.9,0.0470114829718324,0,10189
"385","bt","glm",0.125,3,400,0,0.0473059181470213,0,10189
"386","bt","glm",0.125,3,400,0.5,0.0504465600157032,0,10189
"387","bt","glm",0.125,3,400,0.9,0.0519187358916479,0,10189
"388","bt","glm",0.125,5,100,0,0.0555501030523113,0,10189
"389","bt","glm",0.125,5,100,0.5,0.0544705074099519,0,10189
"390","bt","glm",0.125,5,100,0.9,0.057022278928256,0,10189
"391","bt","glm",0.125,5,200,0,0.0508391402492884,0,10189
"392","bt","glm",0.125,5,200,0.5,0.05132986554127,0,10189
"393","bt","glm",0.125,5,200,0.9,0.05132986554127,0,10189
"394","bt","glm",0.125,5,400,0,0.0543723623515556,0,10189
"395","bt","glm",0.125,5,400,0.5,0.0508391402492884,0,10189
"396","bt","glm",0.125,5,400,0.9,0.0551575228187261,0,10189
"397","bt","glm",0.125,10,100,0,0.0536853469427814,0,10189
"398","bt","glm",0.125,10,100,0.5,0.0555501030523113,0,10189
"399","bt","glm",0.125,10,100,0.9,0.0564334085778781,0,10189
"400","bt","glm",0.125,10,200,0,0.0536853469427814,0,10189
"401","bt","glm",0.125,10,200,0.5,0.0481892236725881,0,10189
"402","bt","glm",0.125,10,200,0.9,0.0520168809500442,0,10189
"403","bt","glm",0.125,10,400,0,0.0506428501324958,0,10189
"404","bt","glm",0.125,10,400,0.5,0.0533909117675925,0,10189
"405","bt","glm",0.125,10,400,0.9,0.0515261556580626,0,10189
"406","bt","glm",0.25,3,100,0,0.0508391402492884,0,10189
"407","bt","glm",0.25,3,100,0.5,0.0479929335557955,0,10189
"408","bt","glm",0.25,3,100,0.9,0.0504465600157032,0,10189
"409","bt","glm",0.25,3,200,0,0.0527038963588183,0,10189
"410","bt","glm",0.25,3,200,0.5,0.0511335754244774,0,10189
"411","bt","glm",0.25,3,200,0.9,0.0488762390813623,0,10189
"412","bt","glm",0.25,3,400,0,0.0499558347237217,0,10189
"413","bt","glm",0.25,3,400,0.5,0.050053979782118,0,10189
"414","bt","glm",0.25,3,400,0.9,0.0520168809500442,0,10189
"415","bt","glm",0.25,5,100,0,0.0527038963588183,0,10189
"416","bt","glm",0.25,5,100,0.5,0.0555501030523113,0,10189
"417","bt","glm",0.25,5,100,0.9,0.0521150260084405,0,10189
"418","bt","glm",0.25,5,200,0,0.0508391402492884,0,10189
"419","bt","glm",0.25,5,200,0.5,0.0504465600157032,0,10189
"420","bt","glm",0.25,5,200,0.9,0.0515261556580626,0,10189
"421","bt","glm",0.25,5,400,0,0.0467170477966434,0,10189
"422","bt","glm",0.25,5,400,0.5,0.0467170477966434,0,10189
"423","bt","glm",0.25,5,400,0.9,0.0505447050740995,0,10189
"424","bt","glm",0.25,10,100,0,0.0498576896653254,0,10189
"425","bt","glm",0.25,10,100,0.5,0.0508391402492884,0,10189
"426","bt","glm",0.25,10,100,0.9,0.0527038963588183,0,10189
"427","bt","glm",0.25,10,200,0,0.0471096280302287,0,10189
"428","bt","glm",0.25,10,200,0.5,0.0503484149573069,0,10189
