"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",167,25,0.1,2,8,0.15,0,0,0,2,2,165,450,159,0
"bt","bglm",167,50,0.1,2,8,0.15,0,0,0,2,2,165,885,167,3
"bt","bglm",167,100,0.1,2,8,0.15,0,0,0,2,2,165,1272,167,116
"bt","bglm",167,25,0.1,8,2,0.175,0,0,0,1,1,166,189,134,55
"bt","bglm",167,50,0.1,8,2,0.175,0,0,0,6,6,161,293,165,128
"bt","bglm",167,100,0.1,8,2,0.175,0,0,0,11,11,156,333,167,166
"bt","bglm",167,25,0.1,2,8,0.175,0,0,0,0,0,167,697,166,1
"bt","bglm",167,50,0.1,2,8,0.175,0,0,0,2,2,165,1177,167,64
"bt","bglm",167,100,0.1,2,8,0.175,0,0,0,0,0,167,1334,167,165
"bt","bglm",167,25,0.1,8,2,0.2,0,0,0,2,2,165,249,158,91
"bt","bglm",167,50,0.1,8,2,0.2,0,0,0,8,8,159,318,167,151
"bt","bglm",167,100,0.1,8,2,0.2,0,0,0,8,7,160,334,167,167
"bt","bglm",167,25,0.1,2,8,0.2,0,0,0,1,1,166,928,167,11
"bt","bglm",167,50,0.1,2,8,0.2,0,0,0,1,1,166,1291,167,127
"bt","bglm",167,100,0.1,2,8,0.2,0,0,0,0,0,167,1336,167,167
"bt","bglm",167,25,0.1,8,2,0.001,0.5,0,0,11,8,159,2,2,0
"bt","bglm",167,50,0.1,8,2,0.001,0.5,0,0,4,3,164,3,3,0
"bt","bglm",167,100,0.1,8,2,0.001,0.5,0,0,3,3,164,0,0,0
"bt","bglm",167,25,0.1,2,8,0.001,0.5,0,0,0,0,167,13,12,0
"bt","bglm",167,50,0.1,2,8,0.001,0.5,0,0,2,2,165,6,5,0
"bt","bglm",167,100,0.1,2,8,0.001,0.5,0,0,3,3,164,3,3,0
"bt","bglm",167,25,0.1,8,2,0.025,0.5,0,0,5,5,162,7,6,1
"bt","bglm",167,50,0.1,8,2,0.025,0.5,0,0,10,9,158,3,3,0
"bt","bglm",167,100,0.1,8,2,0.025,0.5,0,0,5,5,162,9,8,1
"bt","bglm",167,25,0.1,2,8,0.025,0.5,0,0,1,1,166,12,11,0
"bt","bglm",167,50,0.1,2,8,0.025,0.5,0,0,0,0,167,20,12,0
"bt","bglm",167,100,0.1,2,8,0.025,0.5,0,0,0,0,167,30,17,0
"bt","bglm",167,25,0.1,8,2,0.05,0.5,0,0,6,5,162,5,5,0
"bt","bglm",167,50,0.1,8,2,0.05,0.5,0,0,13,11,156,15,13,2
"bt","bglm",167,100,0.1,8,2,0.05,0.5,0,0,4,4,163,35,29,6
"bt","bglm",167,25,0.1,2,8,0.05,0.5,0,0,1,1,166,37,22,0
"bt","bglm",167,50,0.1,2,8,0.05,0.5,0,0,2,2,165,70,32,0
"bt","bglm",167,100,0.1,2,8,0.05,0.5,0,0,2,2,165,104,52,0
"bt","bglm",167,25,0.1,8,2,0.075,0.5,0,0,9,7,160,26,22,4
"bt","bglm",167,50,0.1,8,2,0.075,0.5,0,0,11,7,160,39,33,6
"bt","bglm",167,100,0.1,8,2,0.075,0.5,0,0,9,7,160,73,54,19
"bt","bglm",167,25,0.1,2,8,0.075,0.5,0,0,1,1,166,64,38,0
"bt","bglm",167,50,0.1,2,8,0.075,0.5,0,0,2,2,165,183,71,1
"bt","bglm",167,100,0.1,2,8,0.075,0.5,0,0,2,2,165,333,115,1
"bt","bglm",167,25,0.1,8,2,0.1,0.5,0,0,17,7,160,56,47,9
"bt","bglm",167,50,0.1,8,2,0.1,0.5,0,0,9,8,159,89,64,25
"bt","bglm",167,100,0.1,8,2,0.1,0.5,0,0,11,9,158,197,121,76
"bt","bglm",167,25,0.1,2,8,0.1,0.5,0,0,4,4,163,99,54,0
"bt","bglm",167,50,0.1,2,8,0.1,0.5,0,0,3,3,164,317,110,6
"bt","bglm",167,100,0.1,2,8,0.1,0.5,0,0,4,4,163,665,149,16
"bt","bglm",167,25,0.1,8,2,0.125,0.5,0,0,13,9,158,86,63,23
"bt","bglm",167,50,0.1,8,2,0.125,0.5,0,0,5,4,163,139,92,47
"bt","bglm",167,100,0.1,8,2,0.125,0.5,0,0,19,12,155,286,160,126
"bt","bglm",167,25,0.1,2,8,0.125,0.5,0,0,5,3,164,288,103,4
"bt","bglm",167,50,0.1,2,8,0.125,0.5,0,0,1,1,166,605,146,8
"bt","bglm",167,100,0.1,2,8,0.125,0.5,0,0,1,1,166,1098,167,78
"bt","bglm",167,25,0.1,8,2,0.15,0.5,0,0,5,5,162,120,86,34
"bt","bglm",167,50,0.1,8,2,0.15,0.5,0,0,7,6,161,238,141,97
"bt","bglm",167,100,0.1,8,2,0.15,0.5,0,0,12,10,157,320,166,154
"bt","bglm",167,25,0.1,2,8,0.15,0.5,0,0,1,1,166,539,135,10
"bt","bglm",167,50,0.1,2,8,0.15,0.5,0,0,3,3,164,971,163,48
"bt","bglm",167,100,0.1,2,8,0.15,0.5,0,0,1,1,166,1287,167,135
"bt","bglm",167,25,0.1,8,2,0.175,0.5,0,0,9,7,160,215,133,82
"bt","bglm",167,50,0.1,8,2,0.175,0.5,0,0,7,7,160,282,155,127
"bt","bglm",167,100,0.1,8,2,0.175,0.5,0,0,3,3,164,331,166,165
"bt","bglm",167,25,0.1,2,8,0.175,0.5,0,0,0,0,167,707,153,14
"bt","bglm",167,50,0.1,2,8,0.175,0.5,0,0,2,2,165,1182,167,95
"bt","bglm",167,100,0.1,2,8,0.175,0.5,0,0,1,1,166,1336,167,167
"bt","bglm",167,25,0.1,8,2,0.2,0.5,0,0,5,5,162,234,141,93
"bt","bglm",167,50,0.1,8,2,0.2,0.5,0,0,7,7,160,323,167,156
"bt","bglm",167,100,0.1,8,2,0.2,0.5,0,0,7,6,161,334,167,167
"bt","bglm",167,25,0.1,2,8,0.2,0.5,0,0,0,0,167,940,163,42
"bt","bglm",167,50,0.1,2,8,0.2,0.5,0,0,0,0,167,1289,167,142
"bt","bglm",167,100,0.1,2,8,0.2,0.5,0,0,5,4,163,1336,167,167
