"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,50,0.1,2,8,0.15,0.9,0,0,55,42,9958,47858,7566,4098
"bonf","glm",10000,100,0.1,2,8,0.15,0.9,0,0,61,45,9955,75218,9802,8763
"bonf","glm",10000,25,0.1,8,2,0.175,0.9,0,0,81,25,9975,8031,4679,3352
"bonf","glm",10000,50,0.1,8,2,0.175,0.9,0,0,155,79,9921,16552,8725,7827
"bonf","glm",10000,100,0.1,8,2,0.175,0.9,0,0,321,118,9882,19877,9970,9907
"bonf","glm",10000,25,0.1,2,8,0.175,0.9,0,0,14,13,9987,31322,5533,2191
"bonf","glm",10000,50,0.1,2,8,0.175,0.9,0,0,40,34,9966,65702,9194,6791
"bonf","glm",10000,100,0.1,2,8,0.175,0.9,0,0,75,60,9940,79551,9992,9820
"bonf","glm",10000,25,0.1,8,2,0.2,0.9,0,0,116,32,9968,11614,6485,5129
"bonf","glm",10000,50,0.1,8,2,0.2,0.9,0,0,152,72,9928,18908,9636,9272
"bonf","glm",10000,100,0.1,8,2,0.2,0.9,0,0,286,114,9886,19990,9999,9991
"bonf","glm",10000,25,0.1,2,8,0.2,0.9,0,0,22,18,9982,46526,7383,3964
"bonf","glm",10000,50,0.1,2,8,0.2,0.9,0,0,56,38,9962,75730,9817,8806
"bonf","glm",10000,100,0.1,2,8,0.2,0.9,0,0,65,49,9951,79972,10000,9990
