"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"161","bonf","glm",1000,50,0,0,0,19,19,981,0,0,0,101
"162","bt","glm",1000,50,0,0,0,58,52,948,0,0,0,102
"163","bonf","bglm",1000,50,0,0,0,18,16,984,0,0,0,103
"164","bt","bglm",1000,50,0,0,0,43,40,960,0,0,0,104
"165","bonf","glm",1000,25,0.5,0,0,6,6,994,0,0,0,105
"166","bt","glm",1000,25,0.5,0,0,46,38,962,0,0,0,106
"167","bonf","bglm",1000,25,0.5,0,0,7,7,993,0,0,0,107
"168","bt","bglm",1000,25,0.5,0,0,37,32,968,0,0,0,108
"169","bonf","glm",1000,50,0.5,0,0,23,22,978,0,0,0,109
"170","bt","glm",1000,50,0.5,0,0,58,55,945,0,0,0,110
"171","bonf","bglm",1000,50,0.5,0,0,12,11,989,0,0,0,111
"172","bt","bglm",1000,50,0.5,0,0,35,33,967,0,0,0,112
"173","bonf","glm",1000,25,0.9,0,0,9,5,995,0,0,0,113
"174","bt","glm",1000,25,0.9,0,0,61,47,953,0,0,0,114
"175","bonf","bglm",1000,25,0.9,0,0,1,1,999,0,0,0,115
"176","bt","bglm",1000,25,0.9,0,0,56,41,959,0,0,0,116
"177","bonf","glm",1000,50,0.9,0,0,20,16,984,0,0,0,117
"178","bt","glm",1000,50,0.9,0,0,93,63,937,0,0,0,118
"179","bonf","bglm",1000,50,0.9,0,0,10,8,992,0,0,0,119
"180","bt","bglm",1000,50,0.9,0,0,50,37,963,0,0,0,120
"181","bonf","glm",1000,25,0,0,0,12,10,990,0,0,0,121
"182","bt","glm",1000,25,0,0,0,54,50,950,0,0,0,122
"183","bonf","bglm",1000,25,0,0,0,3,3,997,0,0,0,123
"184","bt","bglm",1000,25,0,0,0,37,35,965,0,0,0,124
"185","bonf","glm",1000,50,0,0,0,25,23,977,0,0,0,125
"186","bt","glm",1000,50,0,0,0,45,43,957,0,0,0,126
"187","bonf","bglm",1000,50,0,0,0,15,15,985,0,0,0,127
"188","bt","bglm",1000,50,0,0,0,48,46,954,0,0,0,128
"189","bonf","glm",1000,25,0.5,0,0,10,9,991,0,0,0,129
"190","bt","glm",1000,25,0.5,0,0,39,35,965,0,0,0,130
"191","bonf","bglm",1000,25,0.5,0,0,8,8,992,0,0,0,131
"192","bt","bglm",1000,25,0.5,0,0,50,45,955,0,0,0,132
"193","bonf","glm",1000,50,0.5,0,0,30,27,973,0,0,0,133
"194","bt","glm",1000,50,0.5,0,0,54,49,951,0,0,0,134
"195","bonf","bglm",1000,50,0.5,0,0,12,11,989,0,0,0,135
"196","bt","bglm",1000,50,0.5,0,0,52,45,955,0,0,0,136
"197","bonf","glm",1000,25,0.9,0,0,3,2,998,0,0,0,137
"198","bt","glm",1000,25,0.9,0,0,70,45,955,0,0,0,138
"199","bonf","bglm",1000,25,0.9,0,0,9,8,992,0,0,0,139
"200","bt","bglm",1000,25,0.9,0,0,77,55,945,0,0,0,140
"201","bonf","glm",1000,50,0.9,0,0,47,29,971,0,0,0,141
"202","bt","glm",1000,50,0.9,0,0,62,45,955,0,0,0,142
"203","bonf","bglm",1000,50,0.9,0,0,11,8,992,0,0,0,143
"204","bt","bglm",1000,50,0.9,0,0,51,37,963,0,0,0,144
"205","bonf","glm",1000,25,0,0,0,7,7,993,0,0,0,145
"206","bt","glm",1000,25,0,0,0,45,41,959,0,0,0,146
"207","bonf","bglm",1000,25,0,0,0,6,6,994,0,0,0,147
"208","bt","bglm",1000,25,0,0,0,35,33,967,0,0,0,148
"209","bonf","glm",1000,50,0,0,0,26,25,975,0,0,0,149
"210","bt","glm",1000,50,0,0,0,41,40,960,0,0,0,150
"211","bonf","bglm",1000,50,0,0,0,10,10,990,0,0,0,151
"212","bt","bglm",1000,50,0,0,0,61,58,942,0,0,0,152
"213","bonf","glm",1000,25,0.5,0,0,6,5,995,0,0,0,153
"214","bt","glm",1000,25,0.5,0,0,72,62,938,0,0,0,154
"215","bonf","bglm",1000,25,0.5,0,0,4,4,996,0,0,0,155
"216","bt","bglm",1000,25,0.5,0,0,35,33,967,0,0,0,156
"217","bonf","glm",1000,50,0.5,0,0,15,15,985,0,0,0,157
"218","bt","glm",1000,50,0.5,0,0,48,43,957,0,0,0,158
"219","bonf","bglm",1000,50,0.5,0,0,8,8,992,0,0,0,159
"220","bt","bglm",1000,50,0.5,0,0,48,43,957,0,0,0,160
"221","bonf","glm",1000,25,0.9,0,0,11,8,992,0,0,0,161
"222","bt","glm",1000,25,0.9,0,0,94,64,936,0,0,0,162
"223","bonf","bglm",1000,25,0.9,0,0,2,1,999,0,0,0,163
"224","bt","bglm",1000,25,0.9,0,0,42,32,968,0,0,0,164
"225","bonf","glm",1000,50,0.9,0,0,26,18,982,0,0,0,165
"226","bt","glm",1000,50,0.9,0,0,70,51,949,0,0,0,166
"227","bonf","bglm",1000,50,0.9,0,0,14,10,990,0,0,0,167
"228","bt","bglm",1000,50,0.9,0,0,69,49,951,0,0,0,168
"229","bonf","glm",1000,25,0,0,0,9,9,991,0,0,0,169
"230","bt","glm",1000,25,0,0,0,63,60,940,0,0,0,170
"231","bonf","bglm",1000,25,0,0,0,5,5,995,0,0,0,171
"232","bt","bglm",1000,25,0,0,0,38,35,965,0,0,0,172
"233","bonf","glm",1000,50,0,0,0,20,20,980,0,0,0,173
"234","bt","glm",1000,50,0,0,0,31,31,969,0,0,0,174
"235","bonf","bglm",1000,50,0,0,0,13,12,988,0,0,0,175
"236","bt","bglm",1000,50,0,0,0,52,48,952,0,0,0,176
"237","bonf","glm",1000,25,0.5,0,0,10,10,990,0,0,0,177
"238","bt","glm",1000,25,0.5,0,0,41,40,960,0,0,0,178
"239","bonf","bglm",1000,25,0.5,0,0,8,7,993,0,0,0,179
"240","bt","bglm",1000,25,0.5,0,0,34,30,970,0,0,0,180
"241","bonf","glm",1000,50,0.5,0,0,20,20,980,0,0,0,181
"242","bt","glm",1000,50,0.5,0,0,61,57,943,0,0,0,182
"243","bonf","bglm",1000,50,0.5,0,0,13,13,987,0,0,0,183
"244","bt","bglm",1000,50,0.5,0,0,60,50,950,0,0,0,184
"245","bonf","glm",1000,25,0.9,0,0,11,7,993,0,0,0,185
"246","bt","glm",1000,25,0.9,0,0,81,59,941,0,0,0,186
"247","bonf","bglm",1000,25,0.9,0,0,7,6,994,0,0,0,187
"248","bt","bglm",1000,25,0.9,0,0,71,48,952,0,0,0,188
"249","bonf","glm",1000,50,0.9,0,0,24,16,984,0,0,0,189
"250","bt","glm",1000,50,0.9,0,0,59,40,960,0,0,0,190
"251","bonf","bglm",1000,50,0.9,0,0,15,14,986,0,0,0,191
"252","bt","bglm",1000,50,0.9,0,0,72,49,951,0,0,0,192
"253","bonf","glm",1000,25,0,0,0,8,7,993,0,0,0,193
"254","bt","glm",1000,25,0,0,0,51,47,953,0,0,0,194
"255","bonf","bglm",1000,25,0,0,0,8,8,992,0,0,0,195
"256","bt","bglm",1000,25,0,0,0,38,35,965,0,0,0,196
"257","bonf","glm",1000,50,0,0,0,29,24,976,0,0,0,197
"258","bt","glm",1000,50,0,0,0,47,44,956,0,0,0,198
"259","bonf","bglm",1000,50,0,0,0,7,5,995,0,0,0,199
"260","bt","bglm",1000,50,0,0,0,45,41,959,0,0,0,200
"261","bonf","glm",1000,25,0.5,0,0,14,13,987,0,0,0,201
"262","bt","glm",1000,25,0.5,0,0,51,47,953,0,0,0,202
"263","bonf","bglm",1000,25,0.5,0,0,3,3,997,0,0,0,203
"264","bt","bglm",1000,25,0.5,0,0,38,36,964,0,0,0,204
"265","bonf","glm",1000,50,0.5,0,0,22,20,980,0,0,0,205
"266","bt","glm",1000,50,0.5,0,0,48,42,958,0,0,0,206
"267","bonf","bglm",1000,50,0.5,0,0,13,13,987,0,0,0,207
"268","bt","bglm",1000,50,0.5,0,0,51,47,953,0,0,0,208
"269","bonf","glm",1000,25,0.9,0,0,6,5,995,0,0,0,209
"270","bt","glm",1000,25,0.9,0,0,71,56,944,0,0,0,210
"271","bonf","bglm",1000,25,0.9,0,0,6,5,995,0,0,0,211
"272","bt","bglm",1000,25,0.9,0,0,48,33,967,0,0,0,212
"273","bonf","glm",1000,50,0.9,0,0,18,12,988,0,0,0,213
"274","bt","glm",1000,50,0.9,0,0,72,49,951,0,0,0,214
"275","bonf","bglm",1000,50,0.9,0,0,21,15,985,0,0,0,215
"276","bt","bglm",1000,50,0.9,0,0,56,40,960,0,0,0,216
"277","bonf","glm",1000,25,0,0,0,12,10,990,0,0,0,217
"278","bt","glm",1000,25,0,0,0,48,47,953,0,0,0,218
"279","bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0,219
"280","bt","bglm",1000,25,0,0,0,31,29,971,0,0,0,220
"281","bonf","glm",1000,50,0,0,0,24,22,978,0,0,0,221
"282","bt","glm",1000,50,0,0,0,56,53,947,0,0,0,222
"283","bonf","bglm",1000,50,0,0,0,20,20,980,0,0,0,223
"284","bt","bglm",1000,50,0,0,0,40,40,960,0,0,0,224
"285","bonf","glm",1000,25,0.5,0,0,13,12,988,0,0,0,225
"286","bt","glm",1000,25,0.5,0,0,61,49,951,0,0,0,226
"287","bonf","bglm",1000,25,0.5,0,0,7,7,993,0,0,0,227
"288","bt","bglm",1000,25,0.5,0,0,43,40,960,0,0,0,228
"289","bonf","glm",1000,50,0.5,0,0,20,19,981,0,0,0,229
"290","bt","glm",1000,50,0.5,0,0,62,60,940,0,0,0,230
"291","bonf","bglm",1000,50,0.5,0,0,12,12,988,0,0,0,231
"292","bt","bglm",1000,50,0.5,0,0,48,42,958,0,0,0,232
"293","bonf","glm",1000,25,0.9,0,0,12,11,989,0,0,0,233
