"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"mmm","bglm",25,0,10000,0,0,1,0.3593,0.2915,0,1,0,"h02_002_ha8_04_s03",100,0
"mmm","bglm",25,0.5,10000,0,0,1,0.431,0.2255,0,1,0,"h02_002_ha8_04_s03",100,0.5
"mmm","bglm",25,0.9,10000,0,0,1,0.7414,0.1743,0,1,0,"h02_002_ha8_04_s03",100,0.9
"mmm","bglm",50,0,10000,0,0,1,1.3665,0.7321,0,1,0,"h02_002_ha8_04_s03",200,0
"mmm","bglm",50,0.5,10000,0,0,1,1.5781,0.5473,0,1,0,"h02_002_ha8_04_s03",200,0.5
"mmm","bglm",50,0.9,10000,0,0,1,2.4005,0.4239,0,1,0,"h02_002_ha8_04_s03",200,0.9
"mmm","glm",25,0,10000,0,0,0.5565,0.2235,0.1721,0,0.4435,0,"h02_002_ha8_04_s03",100,0
"mmm","glm",25,0.5,10000,0,0,0.5919,0.2384,0.1188,0.001,0.4081,0,"h02_002_ha8_04_s03",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.6906,0.5573,0.1179,0.0125,0.3094,0,"h02_002_ha8_04_s03",100,0.9
"mmm","glm",50,0,10000,0,0,0.565,1.0699,0.4714,4e-04,0.435,0,"h02_002_ha8_04_s03",200,0
"mmm","glm",50,0.5,10000,0,0,0.6089,1.0917,0.3526,0.0075,0.3911,0,"h02_002_ha8_04_s03",200,0.5
"mmm","glm",50,0.9,10000,0,0,0.6954,1.7113,0.2866,0.0499,0.3046,0,"h02_002_ha8_04_s03",200,0.9
"bonf","bglm",25,0,10000,0.0032,0.0032,0.9968,0.0129,0.0128,0,1,0,"h02_04_ha8_01_s03",100,0
"bonf","bglm",25,0.5,10000,0.0041,0.004,0.996,0.0137,0.0119,0,1,0,"h02_04_ha8_01_s03",100,0.5
"bonf","bglm",25,0.9,10000,0.0032,0.0023,0.9977,0.0118,0.004,0,1,0,"h02_04_ha8_01_s03",100,0.9
"bonf","bglm",50,0,10000,0.0055,0.0052,0.9948,0.1603,0.1469,0,1,0,"h02_04_ha8_01_s03",200,0
"bonf","bglm",50,0.5,10000,0.0066,0.006,0.994,0.1463,0.0981,0,1,0,"h02_04_ha8_01_s03",200,0.5
"bonf","bglm",50,0.9,10000,0.005,0.0035,0.9965,0.1543,0.0477,0,1,0,"h02_04_ha8_01_s03",200,0.9
"bonf","glm",25,0,10000,0.0055,0.0051,0.9949,1e-04,1e-04,0,1,0,"h02_04_ha8_01_s03",100,0
"bonf","glm",25,0.5,10000,0.0042,0.0041,0.9959,5e-04,5e-04,0,1,0,"h02_04_ha8_01_s03",100,0.5
"bonf","glm",25,0.9,10000,0.004,0.0031,0.9969,1e-04,1e-04,0,1,0,"h02_04_ha8_01_s03",100,0.9
"bonf","glm",50,0,10000,0.0101,0.0096,0.9904,0.053,0.0512,0,1,0,"h02_04_ha8_01_s03",200,0
"bonf","glm",50,0.5,10000,0.0071,0.0068,0.9932,0.0562,0.0408,0,1,0,"h02_04_ha8_01_s03",200,0.5
"bonf","glm",50,0.9,10000,0.0083,0.0061,0.9939,0.0435,0.0141,0,1,0,"h02_04_ha8_01_s03",200,0.9
"bt","bglm",25,0,10000,0.0345,0.0318,0.9682,0.2489,0.2172,0,1,0,"h02_04_ha8_01_s03",100,0
"bt","bglm",25,0.5,10000,0.0345,0.0303,0.9697,0.2587,0.1601,0,1,0,"h02_04_ha8_01_s03",100,0.5
"bt","bglm",25,0.9,10000,0.0452,0.0304,0.9696,0.3721,0.0974,0,1,0,"h02_04_ha8_01_s03",100,0.9
