"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","n_h0_ha","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","N","J0_JA","cor"
"bt","bglm",10020,25,0.1,"2","8",0.1,0.9,"2:8",0.0270459081836327,0.0188622754491018,0.981137724550898,1.34680638722555,0.28812375249501,0.069061876247505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.125,0,"2:8",0.00718562874251497,0.00718562874251497,0.992814371257485,1.59031936127745,0.832834331337325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.125,0.5,"2:8",0.0107784431137725,0.0101796407185629,0.989820359281437,1.75698602794411,0.604091816367265,0.0125748502994012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.125,0.9,"2:8",0.0187624750499002,0.0136726546906188,0.986327345309381,2.37215568862275,0.451497005988024,0.150399201596806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.15,0,"2:8",0.00818363273453094,0.00818363273453094,0.991816367265469,2.70918163672655,0.962075848303393,0.00029940119760479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.15,0.5,"2:8",0.00768463073852295,0.00718562874251497,0.992814371257485,2.8999001996008,0.78063872255489,0.0473053892215569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.15,0.9,"2:8",0.0216566866267465,0.0152694610778443,0.984730538922156,3.65968063872255,0.615868263473054,0.27435129740519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.175,0,"2:8",0.00698602794411178,0.00698602794411178,0.993013972055888,4.08712574850299,0.996207584830339,0.00608782435129741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.175,0.5,"2:8",0.00738522954091816,0.00688622754491018,0.99311377245509,4.33433133732535,0.904091816367265,0.131636726546906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.175,0.9,"2:8",0.0184630738522954,0.0141716566866267,0.985828343313373,5.09061876247505,0.781936127744511,0.460179640718563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"2","8",0.2,0,"2:8",0.00568862275449102,0.00558882235528942,0.994411177644711,5.51916167664671,0.999800399201597,0.0503992015968064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0
"bt","bglm",10020,25,0.1,"2","8",0.2,0.5,"2:8",0.00808383233532934,0.00778443113772455,0.992215568862275,5.74311377245509,0.972355289421158,0.294610778443114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.5
"bt","bglm",10020,25,0.1,"2","8",0.2,0.9,"2:8",0.0158682634730539,0.01187624750499,0.98812375249501,6.36606786427146,0.902694610778443,0.641516966067864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2:8",0.9
"bt","bglm",10020,25,0.1,"8","2",0.001,0,"8:2",0.043812375249501,0.0430139720558882,0.956986027944112,0.0122754491017964,0.0122754491017964,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bt","bglm",10020,25,0.1,"8","2",0.001,0.5,"8:2",0.0539920159680639,0.0408183632734531,0.959181636726547,0.0145708582834331,0.0142714570858283,0.00029940119760479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bt","bglm",10020,25,0.1,"8","2",0.001,0.9,"8:2",0.130738522954092,0.0380239520958084,0.961976047904192,0.0334331337325349,0.0233532934131737,0.0100798403193613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bt","bglm",10020,25,0.1,"8","2",0.025,0,"8:2",0.0387225548902196,0.03812375249501,0.96187624750499,0.0226546906187625,0.0225548902195609,9.98003992015968e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
