"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"239","bt","bglm",209,0.375,3,50,0.5,0,0,11,11
"240","bt","bglm",209,0.5,3,50,0.5,0,0,12,13
"241","bt","bglm",209,0.01,5,50,0.5,0,0,13,17
"242","bt","bglm",209,0.0625,5,50,0.5,0,0,11,14
"243","bt","bglm",209,0.125,5,50,0.5,0,0,9,9
"244","bt","bglm",209,0.25,5,50,0.5,0,0,4,6
"245","bt","bglm",209,0.375,5,50,0.5,0,0,10,12
"246","bt","bglm",209,0.5,5,50,0.5,0,0,5,5
"247","bt","bglm",209,0.01,10,50,0.5,0,0,11,20
"248","bt","bglm",209,0.0625,10,50,0.5,0,0,14,16
"249","bt","bglm",209,0.125,10,50,0.5,0,0,6,10
"250","bt","bglm",209,0.25,10,50,0.5,0,0,10,11
"251","bt","bglm",209,0.375,10,50,0.5,0,0,15,19
"252","bt","bglm",209,0.5,10,50,0.5,0,0,9,11
"253","bt","bglm",209,0.01,3,100,0.5,0,0,8,10
"254","bt","bglm",209,0.0625,3,100,0.5,0,0,13,14
"255","bt","bglm",209,0.125,3,100,0.5,0,0,9,11
"256","bt","bglm",209,0.25,3,100,0.5,0,0,11,16
"257","bt","bglm",209,0.375,3,100,0.5,0,0,8,10
"258","bt","bglm",209,0.5,3,100,0.5,0,0,9,12
"259","bt","bglm",209,0.01,5,100,0.5,0,0,15,19
"260","bt","bglm",209,0.0625,5,100,0.5,0,0,12,19
"261","bt","bglm",209,0.125,5,100,0.5,0,0,9,12
"262","bt","bglm",209,0.25,5,100,0.5,0,0,8,9
"263","bt","bglm",209,0.375,5,100,0.5,0,0,9,12
"264","bt","bglm",209,0.5,5,100,0.5,0,0,11,18
"265","bt","bglm",209,0.01,10,100,0.5,0,0,12,14
"266","bt","bglm",209,0.0625,10,100,0.5,0,0,10,14
"267","bt","bglm",209,0.125,10,100,0.5,0,0,14,17
"268","bt","bglm",209,0.25,10,100,0.5,0,0,9,14
"269","bt","bglm",209,0.375,10,100,0.5,0,0,12,15
"270","bt","bglm",209,0.5,10,100,0.5,0,0,11,15
"271","bt","bglm",209,0.01,3,25,0.9,0,0,4,10
"272","bt","bglm",209,0.0625,3,25,0.9,0,0,8,15
"273","bt","bglm",209,0.125,3,25,0.9,0,0,15,26
"274","bt","bglm",209,0.25,3,25,0.9,0,0,11,14
"275","bt","bglm",209,0.375,3,25,0.9,0,0,6,7
"276","bt","bglm",209,0.5,3,25,0.9,0,0,10,20
"277","bt","bglm",209,0.01,5,25,0.9,0,0,8,32
"278","bt","bglm",209,0.0625,5,25,0.9,0,0,14,42
"279","bt","bglm",209,0.125,5,25,0.9,0,0,11,18
"280","bt","bglm",209,0.25,5,25,0.9,0,0,16,51
"281","bt","bglm",209,0.375,5,25,0.9,0,0,10,27
"282","bt","bglm",209,0.5,5,25,0.9,0,0,13,24
"283","bt","bglm",209,0.01,10,25,0.9,0,0,4,34
"284","bt","bglm",209,0.0625,10,25,0.9,0,0,13,62
"285","bt","bglm",209,0.125,10,25,0.9,0,0,10,33
"286","bt","bglm",209,0.25,10,25,0.9,0,0,10,40
"287","bt","bglm",209,0.375,10,25,0.9,0,0,6,13
"288","bt","bglm",209,0.5,10,25,0.9,0,0,12,46
"289","bt","bglm",209,0.01,3,50,0.9,0,0,13,28
"290","bt","bglm",209,0.0625,3,50,0.9,0,0,8,17
"291","bt","bglm",209,0.125,3,50,0.9,0,0,11,21
"292","bt","bglm",209,0.25,3,50,0.9,0,0,13,24
"293","bt","bglm",209,0.375,3,50,0.9,0,0,11,18
"294","bt","bglm",209,0.5,3,50,0.9,0,0,12,18
"295","bt","bglm",209,0.01,5,50,0.9,0,0,9,38
"296","bt","bglm",209,0.0625,5,50,0.9,0,0,11,33
"297","bt","bglm",209,0.125,5,50,0.9,0,0,10,17
"298","bt","bglm",209,0.25,5,50,0.9,0,0,7,14
"299","bt","bglm",209,0.375,5,50,0.9,0,0,9,13
"300","bt","bglm",209,0.5,5,50,0.9,0,0,9,19
"301","bt","bglm",209,0.01,10,50,0.9,0,0,12,78
"302","bt","bglm",209,0.0625,10,50,0.9,0,0,9,39
"303","bt","bglm",209,0.125,10,50,0.9,0,0,14,49
"304","bt","bglm",209,0.25,10,50,0.9,0,0,11,35
