"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","glm",10000,50,0.1,8,2,0.2,0.5,0,0,281,225,9775,19042,9894,9148
"mmm","glm",10000,100,0.1,8,2,0.2,0.5,0,0,412,329,9671,19996,10000,9996
"mmm","glm",10000,25,0.1,2,8,0.2,0.5,0,4,27,27,9969,51496,9495,2106
"mmm","glm",10000,50,0.1,2,8,0.2,0.5,0,0,59,58,9942,76065,9998,7843
"mmm","glm",10000,100,0.1,2,8,0.2,0.5,0,0,106,102,9898,79977,10000,9979
"mmm","glm",10000,25,0.1,8,2,0.001,0.9,0,9,342,112,9879,111,80,31
"mmm","glm",10000,50,0.1,8,2,0.001,0.9,0,0,693,241,9759,178,134,44
"mmm","glm",10000,100,0.1,8,2,0.001,0.9,0,0,845,305,9695,217,159,58
"mmm","glm",10000,25,0.1,2,8,0.001,0.9,0,12,87,61,9927,391,114,10
"mmm","glm",10000,50,0.1,2,8,0.001,0.9,0,0,159,116,9884,644,230,15
"mmm","glm",10000,100,0.1,2,8,0.001,0.9,0,0,188,143,9857,925,299,19
"mmm","glm",10000,25,0.1,8,2,0.025,0.9,0,9,369,109,9882,216,159,57
"mmm","glm",10000,50,0.1,8,2,0.025,0.9,0,0,627,221,9779,342,243,99
"mmm","glm",10000,100,0.1,8,2,0.025,0.9,0,0,873,282,9718,568,406,162
"mmm","glm",10000,25,0.1,2,8,0.025,0.9,0,4,95,71,9925,895,271,21
"mmm","glm",10000,50,0.1,2,8,0.025,0.9,0,0,155,114,9886,1404,435,30
"mmm","glm",10000,100,0.1,2,8,0.025,0.9,0,0,208,152,9848,2364,672,61
"mmm","glm",10000,25,0.1,8,2,0.05,0.9,0,7,387,128,9865,517,352,165
"mmm","glm",10000,50,0.1,8,2,0.05,0.9,0,0,697,238,9762,959,647,312
"mmm","glm",10000,100,0.1,8,2,0.05,0.9,0,0,905,316,9684,1954,1281,673
"mmm","glm",10000,25,0.1,2,8,0.05,0.9,0,6,88,65,9929,1870,530,56
"mmm","glm",10000,50,0.1,2,8,0.05,0.9,0,0,178,126,9874,4275,1080,169
"mmm","glm",10000,100,0.1,2,8,0.05,0.9,0,0,211,155,9845,8300,1969,365
"mmm","glm",10000,25,0.1,8,2,0.075,0.9,0,7,403,131,9862,1127,739,388
"mmm","glm",10000,50,0.1,8,2,0.075,0.9,0,0,643,238,9762,2545,1625,920
"mmm","glm",10000,100,0.1,8,2,0.075,0.9,0,0,783,298,9702,5618,3419,2199
"mmm","glm",10000,25,0.1,2,8,0.075,0.9,0,4,101,68,9928,4664,1169,179
"mmm","glm",10000,50,0.1,2,8,0.075,0.9,0,0,150,104,9896,10029,2335,460
"mmm","glm",10000,100,0.1,2,8,0.075,0.9,0,0,212,150,9850,23074,4468,1438
"mmm","glm",10000,25,0.1,8,2,0.1,0.9,0,4,368,129,9867,2375,1525,850
"mmm","glm",10000,50,0.1,8,2,0.1,0.9,0,0,663,228,9772,5682,3433,2249
"mmm","glm",10000,100,0.1,8,2,0.1,0.9,0,0,804,295,9705,11579,6494,5085
"mmm","glm",10000,25,0.1,2,8,0.1,0.9,0,0,86,62,9938,9604,2174,436
