"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"9910","bt","glm",16,0.25,5,50,0,0,0,1,1
"9911","bt","glm",16,0.375,5,50,0,0,0,2,2
"9912","bt","glm",16,0.5,5,50,0,0,0,3,3
"9913","bt","glm",16,0.01,10,50,0,0,0,0,0
"9914","bt","glm",16,0.0625,10,50,0,0,0,0,0
"9915","bt","glm",16,0.125,10,50,0,0,0,2,2
"9916","bt","glm",16,0.25,10,50,0,0,0,2,2
"9917","bt","glm",16,0.375,10,50,0,0,0,0,0
"9918","bt","glm",16,0.5,10,50,0,0,0,1,1
"9919","bt","glm",16,0.01,3,100,0,0,0,0,0
"9920","bt","glm",16,0.0625,3,100,0,0,0,0,0
"9921","bt","glm",16,0.125,3,100,0,0,0,1,1
"9922","bt","glm",16,0.25,3,100,0,0,0,0,0
"9923","bt","glm",16,0.375,3,100,0,0,0,1,1
"9924","bt","glm",16,0.5,3,100,0,0,0,0,0
"9925","bt","glm",16,0.01,5,100,0,0,0,2,2
"9926","bt","glm",16,0.0625,5,100,0,0,0,0,0
"9927","bt","glm",16,0.125,5,100,0,0,0,1,1
"9928","bt","glm",16,0.25,5,100,0,0,0,0,0
"9929","bt","glm",16,0.375,5,100,0,0,0,1,1
"9930","bt","glm",16,0.5,5,100,0,0,0,2,2
"9931","bt","glm",16,0.01,10,100,0,0,0,1,1
"9932","bt","glm",16,0.0625,10,100,0,0,0,1,1
"9933","bt","glm",16,0.125,10,100,0,0,0,2,2
"9934","bt","glm",16,0.25,10,100,0,0,0,2,2
"9935","bt","glm",16,0.375,10,100,0,0,0,1,1
"9936","bt","glm",16,0.5,10,100,0,0,0,2,2
"9937","bt","glm",16,0.01,3,25,0.5,0,0,0,0
"9938","bt","glm",16,0.0625,3,25,0.5,0,0,1,1
"9939","bt","glm",16,0.125,3,25,0.5,0,0,0,0
"9940","bt","glm",16,0.25,3,25,0.5,0,0,0,0
"9941","bt","glm",16,0.375,3,25,0.5,0,0,0,0
"9942","bt","glm",16,0.5,3,25,0.5,0,0,3,4
"9943","bt","glm",16,0.01,5,25,0.5,0,0,0,0
"9944","bt","glm",16,0.0625,5,25,0.5,0,0,2,2
"9945","bt","glm",16,0.125,5,25,0.5,0,0,0,0
"9946","bt","glm",16,0.25,5,25,0.5,0,0,2,2
"9947","bt","glm",16,0.375,5,25,0.5,0,0,0,0
"9948","bt","glm",16,0.5,5,25,0.5,0,0,2,2
"9949","bt","glm",16,0.01,10,25,0.5,0,0,0,0
"9950","bt","glm",16,0.0625,10,25,0.5,0,0,1,1
"9951","bt","glm",16,0.125,10,25,0.5,0,0,0,0
"9952","bt","glm",16,0.25,10,25,0.5,0,0,1,1
"9953","bt","glm",16,0.375,10,25,0.5,0,0,0,0
"9954","bt","glm",16,0.5,10,25,0.5,0,0,2,2
"9955","bt","glm",16,0.01,3,50,0.5,0,0,0,0
"9956","bt","glm",16,0.0625,3,50,0.5,0,0,1,1
"9957","bt","glm",16,0.125,3,50,0.5,0,0,0,0
"9958","bt","glm",16,0.25,3,50,0.5,0,0,0,0
"9959","bt","glm",16,0.375,3,50,0.5,0,0,0,0
