"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"240","bt","bglm",167,100,0.1,2,8,0.075,0.5,0,0,2,2,165,333,115,1
"241","bt","bglm",167,25,0.1,8,2,0.1,0.5,0,0,17,7,160,56,47,9
"242","bt","bglm",167,50,0.1,8,2,0.1,0.5,0,0,9,8,159,89,64,25
"243","bt","bglm",167,100,0.1,8,2,0.1,0.5,0,0,11,9,158,197,121,76
"244","bt","bglm",167,25,0.1,2,8,0.1,0.5,0,0,4,4,163,99,54,0
"245","bt","bglm",167,50,0.1,2,8,0.1,0.5,0,0,3,3,164,317,110,6
"246","bt","bglm",167,100,0.1,2,8,0.1,0.5,0,0,4,4,163,665,149,16
"247","bt","bglm",167,25,0.1,8,2,0.125,0.5,0,0,13,9,158,86,63,23
"248","bt","bglm",167,50,0.1,8,2,0.125,0.5,0,0,5,4,163,139,92,47
"249","bt","bglm",167,100,0.1,8,2,0.125,0.5,0,0,19,12,155,286,160,126
"250","bt","bglm",167,25,0.1,2,8,0.125,0.5,0,0,5,3,164,288,103,4
"251","bt","bglm",167,50,0.1,2,8,0.125,0.5,0,0,1,1,166,605,146,8
"252","bt","bglm",167,100,0.1,2,8,0.125,0.5,0,0,1,1,166,1098,167,78
"253","bt","bglm",167,25,0.1,8,2,0.15,0.5,0,0,5,5,162,120,86,34
"254","bt","bglm",167,50,0.1,8,2,0.15,0.5,0,0,7,6,161,238,141,97
"255","bt","bglm",167,100,0.1,8,2,0.15,0.5,0,0,12,10,157,320,166,154
"256","bt","bglm",167,25,0.1,2,8,0.15,0.5,0,0,1,1,166,539,135,10
"257","bt","bglm",167,50,0.1,2,8,0.15,0.5,0,0,3,3,164,971,163,48
"258","bt","bglm",167,100,0.1,2,8,0.15,0.5,0,0,1,1,166,1287,167,135
"259","bt","bglm",167,25,0.1,8,2,0.175,0.5,0,0,9,7,160,215,133,82
"260","bt","bglm",167,50,0.1,8,2,0.175,0.5,0,0,7,7,160,282,155,127
"261","bt","bglm",167,100,0.1,8,2,0.175,0.5,0,0,3,3,164,331,166,165
"262","bt","bglm",167,25,0.1,2,8,0.175,0.5,0,0,0,0,167,707,153,14
"263","bt","bglm",167,50,0.1,2,8,0.175,0.5,0,0,2,2,165,1182,167,95
"264","bt","bglm",167,100,0.1,2,8,0.175,0.5,0,0,1,1,166,1336,167,167
"265","bt","bglm",167,25,0.1,8,2,0.2,0.5,0,0,5,5,162,234,141,93
"266","bt","bglm",167,50,0.1,8,2,0.2,0.5,0,0,7,7,160,323,167,156
"267","bt","bglm",167,100,0.1,8,2,0.2,0.5,0,0,7,6,161,334,167,167
"268","bt","bglm",167,25,0.1,2,8,0.2,0.5,0,0,0,0,167,940,163,42
"269","bt","bglm",167,50,0.1,2,8,0.2,0.5,0,0,0,0,167,1289,167,142
"270","bt","bglm",167,100,0.1,2,8,0.2,0.5,0,0,5,4,163,1336,167,167
"271","bt","bglm",167,25,0.1,8,2,0.001,0.9,0,0,21,10,157,10,7,3
"272","bt","bglm",167,50,0.1,8,2,0.001,0.9,0,0,15,5,162,4,4,0
"273","bt","bglm",167,100,0.1,8,2,0.001,0.9,0,0,32,9,158,9,7,2
"274","bt","bglm",167,25,0.1,2,8,0.001,0.9,0,0,11,7,160,17,7,1
"275","bt","bglm",167,50,0.1,2,8,0.001,0.9,0,0,6,4,163,16,6,1
"276","bt","bglm",167,100,0.1,2,8,0.001,0.9,0,0,0,0,167,9,5,0
"277","bt","bglm",167,25,0.1,8,2,0.025,0.9,0,0,12,5,162,9,5,4
"278","bt","bglm",167,50,0.1,8,2,0.025,0.9,0,0,36,11,156,10,6,4
"279","bt","bglm",167,100,0.1,8,2,0.025,0.9,0,0,43,13,154,19,12,7
"280","bt","bglm",167,25,0.1,2,8,0.025,0.9,0,0,1,1,166,38,10,2
"281","bt","bglm",167,50,0.1,2,8,0.025,0.9,0,0,4,3,164,22,7,0
"282","bt","bglm",167,100,0.1,2,8,0.025,0.9,0,0,0,0,167,60,17,1
"283","bt","bglm",167,25,0.1,8,2,0.05,0.9,0,0,21,6,161,20,14,6
"284","bt","bglm",167,50,0.1,8,2,0.05,0.9,0,0,31,10,157,6,4,2
"285","bt","bglm",167,100,0.1,8,2,0.05,0.9,0,0,12,5,162,33,21,12
"286","bt","bglm",167,25,0.1,2,8,0.05,0.9,0,0,6,5,162,60,14,2
"287","bt","bglm",167,50,0.1,2,8,0.05,0.9,0,0,0,0,167,87,25,3
"288","bt","bglm",167,100,0.1,2,8,0.05,0.9,0,0,9,6,161,141,39,5
"289","bt","bglm",167,25,0.1,8,2,0.075,0.9,0,0,11,3,164,26,19,7
"290","bt","bglm",167,50,0.1,8,2,0.075,0.9,0,0,14,4,163,54,34,20
"291","bt","bglm",167,100,0.1,8,2,0.075,0.9,0,0,29,8,159,105,64,41
"292","bt","bglm",167,25,0.1,2,8,0.075,0.9,0,0,6,5,162,169,36,10
"293","bt","bglm",167,50,0.1,2,8,0.075,0.9,0,0,3,2,165,215,50,13
"294","bt","bglm",167,100,0.1,2,8,0.075,0.9,0,0,4,4,163,466,87,36
"295","bt","bglm",167,25,0.1,8,2,0.1,0.9,0,0,17,7,160,50,33,17
"296","bt","bglm",167,50,0.1,8,2,0.1,0.9,0,0,17,6,161,102,60,42
"297","bt","bglm",167,100,0.1,8,2,0.1,0.9,0,0,7,1,166,197,107,90
"298","bt","bglm",167,25,0.1,2,8,0.1,0.9,0,0,5,3,164,314,64,20
"299","bt","bglm",167,50,0.1,2,8,0.1,0.9,0,0,2,2,165,448,78,31
"300","bt","bglm",167,100,0.1,2,8,0.1,0.9,0,0,4,4,163,851,128,77
"301","bt","bglm",167,25,0.1,8,2,0.125,0.9,0,0,4,2,165,104,60,44
"302","bt","bglm",167,50,0.1,8,2,0.125,0.9,0,0,4,2,165,194,111,83
