"method","model","pis","nresp","ntrt","corr","nsim","percent","percenti","pererror","perfail","N","J","cor"
"mmm","glm",0.125,3,100,0.9,10000,0.0784,0.0451,0,0,400,3,0.9
"mmm","glm",0.125,5,25,0,10000,0.0211,0.0209,1e-04,0,100,5,0
"mmm","glm",0.125,5,25,0.5,10000,0.0292,0.0246,2e-04,0,100,5,0.5
"mmm","glm",0.125,5,25,0.9,10000,0.0815,0.0338,0,0,100,5,0.9
"mmm","glm",0.125,5,50,0,10000,0.0342,0.034,0,0,200,5,0
"mmm","glm",0.125,5,50,0.5,10000,0.0442,0.0364,0,0,200,5,0.5
"mmm","glm",0.125,5,50,0.9,10000,0.0969,0.0413,0,0,200,5,0.9
"mmm","glm",0.125,5,100,0,10000,0.0447,0.0432,0,0,400,5,0
"mmm","glm",0.125,5,100,0.5,10000,0.05,0.0424,0,0,400,5,0.5
"mmm","glm",0.125,5,100,0.9,10000,0.1079,0.0447,0,0,400,5,0.9
"mmm","glm",0.125,10,25,0,10000,0.0161,0.0161,2e-04,0,100,10,0
"mmm","glm",0.125,10,25,0.5,10000,0.0238,0.0193,2e-04,0,100,10,0.5
"mmm","glm",0.125,10,25,0.9,10000,0.1077,0.0302,0,0,100,10,0.9
"mmm","glm",0.125,10,50,0,10000,0.0354,0.0348,0,0,200,10,0
"mmm","glm",0.125,10,50,0.5,10000,0.0458,0.036,0,0,200,10,0.5
"mmm","glm",0.125,10,50,0.9,10000,0.1426,0.0422,0,0,200,10,0.9
"mmm","glm",0.125,10,100,0,10000,0.0418,0.0412,0,0,400,10,0
"mmm","glm",0.125,10,100,0.5,10000,0.0578,0.0449,0,0,400,10,0.5
"mmm","glm",0.125,10,100,0.9,10000,0.1566,0.0463,0,0,400,10,0.9
"mmm","glm",0.25,3,25,0,10000,0.0394,0.0388,0,0,100,3,0
"mmm","glm",0.25,3,25,0.5,10000,0.043,0.0386,0,0,100,3,0.5
"mmm","glm",0.25,3,25,0.9,10000,0.0787,0.0453,0,0,100,3,0.9
"mmm","glm",0.25,3,50,0,10000,0.0466,0.0459,0,0,200,3,0
"mmm","glm",0.25,3,50,0.5,10000,0.0533,0.0474,0,0,200,3,0.5
"mmm","glm",0.25,3,50,0.9,10000,0.0787,0.0443,0,0,200,3,0.9
"mmm","glm",0.25,3,100,0,10000,0.05,0.0495,0,0,400,3,0
"mmm","glm",0.25,3,100,0.5,10000,0.0542,0.0475,0,0,400,3,0.5
"mmm","glm",0.25,3,100,0.9,10000,0.0834,0.0478,0,0,400,3,0.9
"mmm","glm",0.25,5,25,0,10000,0.0375,0.0371,0,0,100,5,0
"mmm","glm",0.25,5,25,0.5,10000,0.0418,0.0354,0,0,100,5,0.5
